name,address,lon,lat
Bottino,"246 10th Ave, Manhattan, NY",-74.0032891,40.7485037
Walter's Bar,"389 8th Ave, Manhattan, NY",-73.995839,40.749341
Mykonos Blue,"127 W 28th St, Manhattan, NY",-73.9917767,40.7467373
Black Tap Craft Burgers and Beer,"45 W 35th St Manhattan, NY",-73.9859914,40.750143
Mustang Harry's,"352 7th Ave, Manhattan, NY",-73.9928419,40.748264
Jack Doyle's Irish Pub and Restaurant,"240 W 35th St, Manhattan, NY",-73.9920287,40.7521012
The Hudson Bar Room,"444 10th Ave, Manhattan, NY",-73.998475,40.7550158
Udon Lab,"43 W 32nd St, Manhattan, NY",-73.9874565,40.7482035
Stout NYC,"133 W 33rd St, Manhattan, NY",-73.9898656,40.7499664
BCD Tofu House,"5 W 32nd St, Manhattan, NY",-73.9859643,40.747625
Cafe Nunez,"240 W 35th St, Manhattan, NY",-73.9920287,40.7521012
Shukette,"230 9th Ave, Manhattan, NY",-74.0005218,40.7471546
Jack Demsey's,"36 W 33rd St, Manhattan, NY",-73.9869629,40.7483168
HEY YUET,"251 W 26th St, Manhattan, NY",-73.996365,40.747137
Legends,"6 W 33rd St, Manhattan, NY",-73.985845,40.7480127
Hyo Dong Gak,"51 W 35th St, Manhattan, NY",-73.9862269,40.7501219
ilili,"236 5th Ave, Manhattan, NY",-73.9879195,40.7444147
Haymaker Bar and Kitchen,"252 W 29th St, Manhattan, NY",-73.9953108,40.7486658
Woorijip,"12 W 32nd St, Manhattan, NY",-73.9865687,40.7474051
BARO by Chefs Society,"34 W 32nd St, Manhattan, NY",-73.9873339,40.7478091
Playwright Irish Pub,"27 W 35th St, Manhattan, NY",-73.9853614,40.7498714
Skirt Steak,"835 Ave OF thE AMERICAS, Manhattan, NY",-73.9900333,40.7470222
Bravo Pizza,"360 7th Ave, Manhattan, NY",-73.9926869,40.748464
Ichiran,"132 W 31St St, Manhattan, NY",-73.990714,40.748267
Ulivo,"4 W 28th St, Manhattan, NY",-73.9879883,40.7447912
K Town Pocha,"34 W 32nd St Manhattan, NY",-73.9873339,40.7478091
Uncle Jack's Steakhouse,"440 9th Ave, Manhattan, NY",-73.9955598,40.7536567
Nangman BBQ,"793 6th Ave, Manhattan, NY",-73.9912648,40.7454162
Vin Sur Vingt Wine Bar,"1140 Broadway, Manhattan, NY",-73.9887462,40.7439141
Kushi Kushi Yaki,"2 W 32nd St, Manhattan, NY",-73.9861784,40.7472532
Tir na Nog,"254 W 31St St, Manhattan, NY",-73.9943711,40.7499055
Tempest,"407 8th Ave, Manhattan, NY",-73.9953761,40.7500026
Hudson Station Bar & Grill,"440 9th Ave, Manhattan, NY",-73.9955598,40.7536567
Tracks Restaurant,"220 W 31St St, Manhattan, NY",-73.9931549,40.7494796
The Molly Wee,"402 8th Ave, Manhattan, NY",-73.9949782,40.74967
HanaMichi,"28 W 32nd St, Manhattan, NY",-73.9870841,40.7476146
Space Billiard Pool Hall,"34 W 32nd St, Manhattan, NY",-73.9873339,40.7478091
Chama Mama,"149 W 14th St, Manhattan, NY",-73.9988653,40.7384534
Tao,"369 W16th St, Manhattan, NY",-74.0038464,40.7425376
The Water Hazard,"59 Chelsea Piers, Manhattan, NY",-74.0087216,40.7456816
Shaffer's,"151 8th Ave, Manhattan, NY",-74.0011048,40.7420634
Beer Run,"203 W 19th St, Manhattan, NY",-73.9977429,40.7419271
Empire Diner,"210 10th Ave, Manhattan, NY",-74.0043899,40.7471225
The Copper Still,"206 7th Ave, Manhattan, NY",-73.9964013,40.7433946
Lena,"1 W 8th St, Manhattan, NY",-73.9979682,40.7328475
La Bergamote,"177 9th Ave, Manhattan, NY",-74.0027927,40.7450569
Bar B,"84 7th Ave, Manhattan, NY",-73.9992899,40.7395657
Basta Pasta,"37 W 17th St, Manhattan, NY",-73.9940906,40.7388959
Lasagna Restaurant,"196 8th Ave, Manhattan, NY",-73.9996989,40.7432474
Bocca di Bacco,"169 9th Ave, Manhattan, NY",-74.0030186,40.7446144
Malibu Diner,"163 W 23rd St, Manhattan, NY",-73.9949218,40.7440762
Trailer Park Lounge,"271 W 23rd St, Manhattan, NY",-73.9978245,40.7453275
Margaux,"5 W 8th St, Manhattan, NY",-73.9968064,40.7326462
Fiddlesticks Pub and Grill,"56 Greenwich Ave, Manhattan, NY",-74.0004721,40.7359015
Very Fresh Noodles,"409 W 15th St, Manhattan, NY",-74.0056454,40.7420723
Hollywood Diner,"574 6th Ave, Manhattan, NY",-73.9955791,40.738715
The Mermaid Inn,"227 10th Ave, Manhattan, NY",-74.004196,40.7481297
Pasta By Hudson,"180 7th Ave, Manhattan, NY",-73.9969892,40.7427486
Boqueria,"53 W 19th St, Manhattan, NY",-73.9937306,40.740279
Niche Niche,"43 Macdougal St, Manhattan, NY",-74.0025839,40.7277451
Old Homestead Steakhouse,"56 Ninth Ave, Manhattan, NY",-74.004699,40.7411794
A Salt and Battery LLC,"112 Greenwich Ave, Manhattan, NY",-74.0019916,40.7384368
8th Street Winecellar,"28 W 8th St, Manhattan, NY",-73.9979098,40.7327221
Le Zie 2000,"172 7th Ave, Manhattan, NY",-73.997081,40.74253
Asuka Sushi,"300 W 23rd ST, Manhattan, NY",-73.9989481,40.7453023
The 18th Room,"134 9th Ave, Manhattan, NY",-74.0031156,40.7436115
Ootoya Chelsea,"8 W 18th St, Manhattan, NY",-73.9927981,40.7388278
Jue Lan Club,"49 W 20th St, Manhattan, NY",-73.9936959,40.7409445
Baodega,"7 W 20th St, Manhattan, NY",-73.9917492,40.7401851
District Local,"72 7th Ave, Manhattan, NY",-73.9995455,40.7391477
Le Grainne Cafe,"183 9th Ave, Manhattan, NY",-74.0024479,40.7454138
Momoya Chelsea,"185 7th Ave, Manhattan, NY",-73.9965061,40.7426186
Analogue,"19 W 8th St, Manhattan, NY",-73.9974492,40.7328532
Glur Thai,"144 W 19th St, Manhattan, NY",-73.9967305,40.741104
Neighborhood Goods,"75 9th Ave, Manhattan, NY",-74.0059581,40.7424509
Sushi Seki,"208 W 23rd St, Manhattan, NY",-73.9964368,40.74406
