"name","address","lon","lat"
"SOB's","200 VARICK STREET, Manhattan, NY",-74.0051195,40.7282898
"Sushi Katsuei","357 6th Ave, Manhattan, NY",-74.0008394,40.7322085
"Barrow's Pub","93 Barrow Street, Manhattan, NY",-74.0069235,40.7315942
"The Clam","420 Hudson Street, Manhattan, NY",-74.0065779,40.7303191
"Cafe Cluny","284 West 12th St, Manhattan, NY",-74.0040071,40.7374065
"Sevilla restaurant and bar","62 Charles St, Manhattan, NY",-74.0029255,40.7348316
"Barrow Street Alehouse","15 Barrow Street, Manhattan, NY",-74.0024921,40.7324814
"Jajaja Mexicana","63 Carmine Street, Manhattan, NY",-74.0046039,40.7298848
"Kobrick Coffee Co.","24 9th Avenue , Manhattan, NY",-74.005608,40.7402729
"632 BELOW","632 HUDSON ST, Manhattan, NY",-74.0052983,40.7384446
"STK","28 Little W 12th St, Manhattan, NY",-74.0074075,40.7399644
"The Grey Dog","49 Carmine St, Manhattan, NY",-74.0039152,40.7300189
"Wild","535 Hudson St, Manhattan, NY",-74.0063544,40.734617
"Casa Restaurant","72 Bedford St, Manhattan, NY",-74.0047416,40.7314875
"White Horse Tavern","567 Hudson St, Manhattan, NY",-74.0061649,40.735719
"Palma","28 Cornelia, Manhattan, NY",-74.0023544,40.7311877
"Casa La Femme","140 Charles Street, Manhattan, NY",-74.0079383,40.7338968
"Bluestone lane","30 Carmine Street, Manhattan, NY",-74.0028476,40.7300129
"American Bar","33 Greenwich Avenue , Manhattan, NY",-74.0003402,40.7348852
"Marie Blachère","303 6TH AVE, Manhattan, NY",-74.0019756,40.7307189
"Katana Kitten","531 Hudson Street, Manhattan, NY",-74.0064917,40.7342517
"Blind Tiger","281 Bleecker Street, Manhattan, NY",-74.0031807,40.731884
"Tavern on Jane","31 8th Avenue, Manhattan, NY",-74.0042883,40.7382629
"Sveta","64 Carmine Street , Manhattan, NY",-74.0041443,40.729705
"I Sodi","105 CHRISTOPHER STREET, Manhattan, NY",-74.0050225,40.7334635
"Spunto Thin Crust Pizza","65 Carmine Street, Manhattan, NY",-74.0046957,40.7298592
"One if By Land Two if By Sea","17 Barrow St, Manhattan, NY",-74.0025839,40.7324944
"ART BAR","52 8th AVENUE, Manhattan, NY",-74.0035078,40.7384981
"Baker & Co","259 Bleecker Street , Manhattan, NY",-74.0028134,40.7313686
"Brass Monkey","53 Little W 12th Street, Manhattan, NY",-74.0084012,40.7407516
"Piccolo Angolo","621 Hudson St, Manhattan, NY",-74.0058545,40.7380562
"BOMBAY BISTRO","31 CORNELIA ST, Manhattan, NY",-74.0025839,40.7314519
"The Spaniard","190 West 4th Street, Manhattan, NY",-74.0022796,40.7326969
"Moustache","90 Bedford Street, Manhattan, NY",-74.0053204,40.7323474
"Simò Pizza","90 Gansevoort Street, Manhattan, NY",-74.0087429,40.7392955
"John's of Bleecker St","278 Bleecker St, Manhattan, NY",-74.0034468,40.7316187
"Olio e Piu","3 Greenwich Avenue, Manhattan, NY",-73.9998553,40.7338521
"Lena","10 MORTON STREET, Manhattan, NY",-74.003548,40.7311638
"Judy Z’s Sports Tavern","1 7th Avenue South, Manhattan, NY",-74.0047531,40.7297805
"Brass Monkey","55 Little W 12th Street, Manhattan, NY",-74.0084701,40.7407421
"Mole","57 Jane St, Manhattan, NY",-74.0053901,40.738226
"232 Bleecker","232 Bleecker St, Manhattan, NY",-74.0025683,40.7301548
"Jeffrey's Grocery","172 Waverly Place, Manhattan, NY",-74.0013903,40.734024
"Arthur's Tavern","57 GROVE STREET, Manhattan, NY",-74.0034612,40.7332053
"Bar Pitti","268 6TH AVE, Manhattan, NY",-74.0021326,40.7290382
"Solaro","13 Carmine Street, Manhattan, NY",-74.0024003,40.730615
"La Pecora Bianca","817 WASHINGTON STREET, Manhattan, NY",-74.0077589,40.739596
"La Loteria","29 7TH AVENUE SOUTH, Manhattan, NY",-74.0041448,40.7308623
"Lamano","39 CHRISTOPHER ST, Manhattan, NY",-74.0015554,40.7339022
"Ramen-Ya","181 W 4th St , Manhattan, NY",-74.0016657,40.7325187
"Hudson Hound","575 HUDSON STREET, Manhattan, NY",-74.0061647,40.7361294
"Ollie","64 Downing St, Manhattan, NY",-74.0048793,40.7288427
"Flip Sigi","131 7th Ave S, Manhattan, NY",-74.0020674,40.7344965
"Marble Dessert Bar","27 Bedford St, Manhattan, NY",-74.0037431,40.7291547
"The Chester","18 9th Avenue, Manhattan, NY",-74.0057231,40.7399008
"La Ripaille","605 Hudson Street, Manhattan, NY",-74.0059811,40.7372616
"Rivoli Pizza","176 7th Ave South, Manhattan, NY",-74.0017026,40.7359906
"Coffee and Cocktails","18 9th AVENUE, Manhattan, NY",-74.0057231,40.7399008
"Hector's Cafe & Diner","44 Little W 12th St, Manhattan, NY",-74.0082889,40.7402925
"Serafina","7 9th Avenue, Manhattan, NY",-74.0047761,40.742277
"Carmine Street Beers","52 CARMINE STREET, Manhattan, NY",-74.003575,40.729756
"La Bonbonniere Resturant","28 8TH Ave, Manhattan, NY",-74.0043464,40.7377602
"Julius Bar","159 W 10th Street, Manhattan, NY",-74.0017116,40.7345329
"Standard Biergarten","848  WASHINGTON ST, Manhattan, NY",-74.0081158,40.7409422
"Karaoke Boho","186 West 4th St, Manhattan, NY",-74.0021482,40.7325738
"EL TORO BLANCO","257 6th Ave, Manhattan, NY",-74.002807,40.7290259
"Anton's","570 Hudson Street, Manhattan, NY",-74.0057727,40.7356767
"Cafe Panino Mucho Gusto","551 HUDSON STREET, Manhattan, NY",-74.0063025,40.7352609
"L'Accolade","302 Bleecker St, Manhattan, NY",-74.0039498,40.7324838
"NINANO","61 GROVE STREET, Manhattan, NY",-74.0033234,40.7333402
"Rafele Restaurant","29A 7th Ave S, Manhattan, NY",-74.0040978,40.7309582
"Ramen Danbo","48 CARMINE STREET, Manhattan, NY",-74.0034562,40.7298766
